,年別,稅別,年底使用家數_家,全年使用張數_張,全年銷售額_千元,每一張平均銷售額_千元,label
83,104,一般稅額,182209,4172578589,11186206283,2.6808857027857407,1.0
84,104,特種稅額,2175,7940822,1303749496,164.18319111044173,0.0
85,105,合計,188464,3382918158,12186547629,3.6023773144440345,1.0
86,105,一般稅額,186339,3380820548,10849105620,3.2090155232930155,1.0
87,105,特種稅額,2125,2097610,1337442009,637.6027998531662,0.0
88,106,合計,192376,4785937887,12286019424,2.5671079972375748,1.0
89,106,一般稅額,190303,4783322125,11127010279,2.32620969029971,1.0
90,106,特種稅額,2073,2615762,1159009145,443.0866206482088,0.0
91,107,合計,196171,3365207647,13101996936,3.8933695362543554,1.0
92,107,一般稅額,194116,3305442240,11747275792,3.5539195481449406,1.0
93,107,特種稅額,2055,59765407,1354721144,22.667312279827694,0.0
94,108,合計,198625,4867508601,13309800058,2.734417368110163,1.0
95,108,一般稅額,196515,4271070444,11921758968,2.7912812781507004,1.0
96,108,特種稅額,2110,596438157,1388041090,2.3272171200140033,0.0
97,109,合計,200780,3327055221,13477018126,4.050734728096658,1.0
98,109,一般稅額,198708,3130614481,12097603634,3.8642904475851365,1.0
99,109,特種稅額,2072,196440740,1379414492,7.022038768536507,0.0
