出表日期,年度,季別,公司代號,公司名稱,產業別,基本每股盈餘(元),普通股每股面額,營業收入,營業利益,營業外收入及支出,稅後淨利
"1100421","109","4","2430","燦坤實業股份有限公司","電子通路業","1.85","新台幣                 10.0000元","19542720.00","423745.00","-31739.00","308372.00"
"1100421","109","4","2431","聯昌電子企業股份有限公司","電子零組件業","0.42","新台幣                 10.0000元","2298426.00","34337.00","12185.00","46775.00"
"1100421","109","4","2433","互盛股份有限公司","其他電子業","3.93","新台幣                 10.0000元","4050378.00","504849.00","196806.00","590755.00"
"1100421","109","4","2434","統懋半導體股份有限公司","半導體業","-0.33","新台幣                 10.0000元","133723.00","-68275.00","63369.00","-6266.00"
"1100421","109","4","2436","偉詮電子股份有限公司","半導體業","1.94","新台幣                 10.0000元","2619977.00","126343.00","235956.00","341504.00"
"1100421","109","4","2438","翔耀實業股份有限公司","光電業","0.07","新台幣                 10.0000元","379424.00","5377.00","25796.00","22168.00"
"1100421","109","4","2439","美律實業股份有限公司","通信網路業","6.39","新台幣                 10.0000元","34444819.00","1140742.00","561963.00","1319400.00"
"1100421","109","4","2440","太空梭高傳真資訊科技(股)公司","電子零組件業","1.58","新台幣                 10.0000元","2990077.00","126665.00","155835.00","219766.00"
"1100421","109","4","2441","超豐電子股份有限公司","半導體業","4.68","新台幣                 10.0000元","14701682.00","3246093.00","57158.00","2662311.00"
"1100421","109","4","2442","新美齊股份有限公司","電腦及週邊設備業","0.60","新台幣                 10.0000元","5306536.00","48663.00","68433.00","122004.00"
"1100421","109","4","2443","億麗科技股份有限公司","其他","-3.09","新台幣                 10.0000元","469729.00","-446237.00","-8633.00","-454870.00"
"1100421","109","4","2444","兆勁科技股份有限公司","通信網路業","-0.93","新台幣                 10.0000元","1774217.00","-78441.00","-28977.00","-94762.00"
"1100421","109","4","2449","京元電子股份有限公司","半導體業","2.97","新台幣                 10.0000元","28959304.00","4650711.00","-107056.00","3637140.00"
"1100421","109","4","2450","神腦國際企業股份有限公司","通信網路業","1.69","新台幣                 10.0000元","27007073.00","308967.00","207574.00","435915.00"
"1100421","109","4","2451","創見資訊股份有限公司","半導體業","2.79","新台幣                 10.0000元","11446696.00","1211936.00","290445.00","1197735.00"
"1100421","109","4","2453","凌群電腦股份有限公司","資訊服務業","1.70","新台幣                 10.0000元","5757866.00","163353.00","49545.00","166842.00"
"1100421","109","4","2454","聯發科技股份有限公司","半導體業","26.01","新台幣                 10.0000元","322145988.00","43219239.00","4363447.00","41438573.00"
"1100421","109","4","2455","全新光電科技股份有限公司","通信網路業","2.88","新台幣                 10.0000元","2645003.00","687515.00","-40212.00","532588.00"
"1100421","109","4","2456","奇力新電子股份有限公司","電子零組件業","5.91","新台幣                 10.0000元","17437999.00","1979302.00","-105746.00","1543073.00"
"1100421","109","4","2457","飛宏科技股份有限公司","電子零組件業","-0.46","新台幣                 10.0000元","9243618.00","-372631.00","219189.00","-154613.00"
"1100421","109","4","2458","義隆電子股份有限公司","半導體業","11.14","新台幣                 10.0000元","15099690.00","4217199.00","-323507.00","3193038.00"
"1100421","109","4","2459","敦吉科技股份有限公司","電子通路業","4.25","新台幣                 10.0000元","6364618.00","663886.00","20892.00","502440.00"
"1100421","109","4","2460","建通精密工業股份有限公司","電子零組件業","-0.25","新台幣                 10.0000元","3454386.00","33678.00","-89497.00","-42496.00"
"1100421","109","4","2461","光群雷射科技股份有限公司","其他電子業","0.96","新台幣                 10.0000元","5439230.00","228722.00","3379.00","191139.00"
"1100421","109","4","2462","台灣良得電子股份有限公司","電子零組件業","0.87","新台幣                 10.0000元","4526914.00","112266.00","35465.00","123760.00"
"1100421","109","4","2464","盟立自動化股份有限公司","其他電子業","2.63","新台幣                 10.0000元","8908665.00","668970.00","-91197.00","513384.00"
"1100421","109","4","2465","麗臺科技股份有限公司","電腦及週邊設備業","0.50","新台幣                 10.0000元","4548266.00","51619.00","3076.00","24782.00"
"1100421","109","4","2466","冠西電子企業股份有限公司","光電業","0.04","新台幣                 10.0000元","1245165.00","-86828.00","92172.00","6368.00"
"1100421","109","4","2467","志聖工業股份有限公司","電子零組件業","2.94","新台幣                 10.0000元","4085806.00","530508.00","75343.00","475245.00"
